date,open,high,low,close
2020-01-07,13199.590,13283.880,13166.400,13226.830
2020-01-06,13085.490,13143.110,12948.170,13126.990
2020-01-03,13266.390,13282.740,13120.720,13219.140
2020-01-02,13233.710,13425.030,13225.160,13385.930
2019-12-30,13301.430,13316.620,13244.170,13249.010
2019-12-27,13338.320,13381.440,13311.520,13337.110
2019-12-23,13304.770,13331.860,13285.550,13300.980
2019-12-20,13210.260,13324.110,13201.800,13318.900
2019-12-19,13226.700,13248.980,13140.220,13211.960
2019-12-18,13266.350,13286.000,13215.880,13222.160
2019-12-17,13391.270,13394.470,13269.430,13287.830
2019-12-16,13349.860,13425.850,13338.380,13407.660
2019-12-13,13383.260,13423.410,13255.550,13282.720
2019-12-12,13167.560,13287.810,13105.070,13221.640
2019-12-11,13075.430,13169.770,13042.700,13146.740
2019-12-10,13065.830,13091.710,12886.550,13070.720
2019-12-09,13147.570,13170.770,13100.240,13105.610
2019-12-06,13087.510,13171.210,13055.980,13166.580
2019-12-05,13144.380,13188.640,13054.800,13054.800
2019-12-04,12998.660,13157.360,12995.320,13140.570
2019-12-03,13039.610,13086.030,12927.070,12989.290
2019-12-02,13264.930,13338.250,12954.500,12964.680
2019-11-29,13179.250,13290.330,13165.070,13236.380
2019-11-28,13247.610,13259.290,13215.710,13245.580
2019-11-27,13291.090,13314.920,13219.430,13287.070
2019-11-26,13256.400,13261.980,13193.750,13236.420
2019-11-25,13247.510,13268.970,13210.250,13246.450
2019-11-22,13145.770,13244.570,13120.630,13163.880
2019-11-21,13083.000,13171.850,13043.900,13137.700
2019-11-20,13127.450,13182.220,13071.330,13158.140
2019-11-19,13235.280,13374.270,13187.910,13221.120
2019-11-18,13255.780,13282.410,13137.880,13207.010
2019-11-15,13261.720,13261.720,13172.890,13241.750
2019-11-14,13198.330,13219.300,13159.690,13180.230
2019-11-13,13244.050,13273.820,13139.250,13230.070
2019-11-12,13243.530,13308.260,13214.660,13283.510
2019-11-11,13170.180,13225.620,13144.090,13198.370
